"region";"vekst";"Jordbruksareal 1969";"Jordbruksareal 1979";"Jordbruksareal 1989";"Jordbruksareal 1999";"Jordbruksareal 2000";"Jordbruksareal 2001";"Jordbruksareal 2002";"Jordbruksareal 2003";"Jordbruksareal 2004";"Jordbruksareal 2005";"Jordbruksareal 2006";"Jordbruksareal 2007";"Jordbruksareal 2008";"Jordbruksareal 2009";"Jordbruksareal 2010";"Jordbruksareal 2011";"Jordbruksareal 2012";"Jordbruksareal 2013";"Jordbruksareal 2014";"Jordbruksareal 2015";"Jordbruksareal 2016";"Jordbruksareal 2017"
"1526 Stordal";"Jordbruksareal i drift";0;4001;4646;4724;4745;4625;4357;4284;4339;4082;3948;3770;3880;3905;3976;3917;3898;3992;3723;3755;3782;3806
"1528 Sykkylven";"Jordbruksareal i drift";16757;15844;15648;15268;15057;15107;15042;14653;14073;13683;13616;13413;13238;12547;12025;10962;10869;10636;10850;10747;10958;11348
"1529 Skodje";"Jordbruksareal i drift";0;5996;6797;5716;5547;5575;5203;5346;5300;5383;5321;4853;4776;4669;4258;3990;3611;3702;3823;3794;3837;3641
"1531 Sula";"Jordbruksareal i drift";0;3636;2356;2049;1854;1610;1444;1185;1185;1091;1002;979;913;713;644;700;697;727;659;598;676;642
"1532 Giske";"Jordbruksareal i drift";11536;11068;9768;11180;10550;10730;10819;10516;10218;10338;10460;10545;10339;9941;9921;9625;9623;9273;8933;8912;9061;9076
"1534 Haram";"Jordbruksareal i drift";20609;19983;19827;20469;20099;20121;19513;19388;19167;18790;18892;18965;18984;18434;17758;16943;17175;17461;16808;16667;16513;16652
"1535 Vestnes";"Jordbruksareal i drift";20031;17685;19191;20774;20829;21374;21338;21165;21194;20954;21274;20753;20838;20611;20723;20454;20555;18132;18273;18040;17509;17588
"1539 Rauma";"Jordbruksareal i drift";35153;32967;34721;37515;37669;37571;36644;36587;36728;36530;36629;36388;35925;35714;35445;35101;34714;34017;33957;33761;33866;34069
"1543 Nesset";"Jordbruksareal i drift";20660;19542;21392;23134;23251;23197;23726;23471;23874;23467;23408;23596;23310;23194;23181;23214;22517;22666;21811;21207;20826;20877
"1545 Midsund";"Jordbruksareal i drift";7247;6194;5938;5075;4987;4889;4850;4972;5032;4718;4867;4692;4698;4636;4938;4896;4961;4912;4689;4672;4672;4662
"1546 Sandøy";"Jordbruksareal i drift";3152;3289;..;4084;3917;3988;3854;3815;3827;3752;3759;3864;4235;3800;4083;3933;3958;3934;3927;3961;3957;4005
"1547 Aukra";"Jordbruksareal i drift";7077;7184;8054;9320;8768;9237;10379;9639;9715;9765;9572;8967;9049;6510;9207;8956;8948;8917;8897;8972;9126;8774
"1548 Fræna";"Jordbruksareal i drift";46808;53118;56720;58844;59101;59914;60461;59019;59211;58327;58717;59036;58599;58648;57737;55633;55286;53338;53277;53621;53397;54198
"1551 Eide";"Jordbruksareal i drift";13325;15749;17236;19737;19794;20060;19980;20424;19830;19434;19266;19135;18530;17651;17982;18438;19169;19584;19231;19102;19596;19692
"1554 Averøy";"Jordbruksareal i drift";19770;18436;20093;21606;21417;21227;21030;20877;20645;20273;20277;19780;19514;19149;17804;17786;17911;17903;17838;17717;17704;17380
"1557 Gjemnes";"Jordbruksareal i drift";21894;21565;25247;25570;25614;26002;25808;26067;26244;25855;25835;25658;25412;25567;26285;25879;24224;24261;24483;24533;24872;24941
"1560 Tingvoll";"Jordbruksareal i drift";18316;16743;17971;18786;19087;19284;19365;19246;19212;19353;20369;19754;19913;18988;18824;18894;18952;18847;18661;18933;19072;19258
"1563 Sunndal";"Jordbruksareal i drift";22131;22836;22801;23840;23846;23672;23023;23183;22935;22873;22809;22340;21809;21830;21787;21794;21473;21460;21094;21131;20572;20346
"1566 Surnadal";"Jordbruksareal i drift";32784;32408;34971;36638;36729;37305;37315;37045;36647;36801;36858;36780;36246;35515;35493;35340;35595;35391;35570;35738;36193;36197
"1567 Rindal (-2018)";"Jordbruksareal i drift";23393;24195;25231;25537;25824;25518;25791;25938;26064;26269;26426;25689;25157;25611;25321;25405;24677;24767;24401;24110;23992;24625
"1571 Halsa";"Jordbruksareal i drift";12514;14695;15799;16032;16166;16108;16050;16196;16236;16200;16317;16291;16240;14386;14497;14092;13948;14165;14179;13578;13386;12881
"1573 Smøla";"Jordbruksareal i drift";14115;13030;12782;14504;14959;14958;14800;14812;15061;15292;15014;15050;14695;14571;15097;14308;14615;14527;14445;13984;14352;14546
"1576 Aure";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;24955;25183;24421;23931;23404;21991;21646;21745;20821;20706;20709;20792
"5001 Trondheim";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5004 Steinkjer";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5005 Namsos";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5011 Hemne";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5012 Snillfjord";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5013 Hitra";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5014 Frøya";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
